adresse;longitude;latitude;total
New York;-74.0060152;40.7127281;522
New Jersey;-74.4041622;40.0757384;365
California;-118.755997;36.7014631;301
China;104.999927;35.000074;139
Italy;12.674297;42.6384261;132
New York City;-74.0060152;40.7127281;130
Boston;-71.060511;42.3554334;123
Texas;-98.5456116;31.2638905;120
NYC;-74.0060152;40.7127281;109
India;78.6677428;22.3511148;107
Maryland;-76.9382069;39.5162401;106
Israel;34.8594762;30.8124247;104
Taiwan;120.83537694479215;23.5983227;103
Chicago;-87.6244212;41.8755616;95
Spain;-4.8379791;39.3260685;87
Washington, DC;-77.0365427;38.8950368;87
France;1.8883335;46.603354;86
San Francisco;-122.4193286;37.7792588;84
Philadelphia;-75.1635262;39.9527237;82
Germany;10.4478313;51.1638175;80
Mexico;-99.1331785;19.4326296;74
NJ;-74.4041622;40.0757384;72
Los Angeles;-118.242766;34.0536909;71
Connecticut;-72.7342163;41.6500201;70
Russia;97.7453061;64.6863136;64
Pennsylvania;-77.7278831;40.9699889;64
Brooklyn, NY;-73.9497211;40.6526006;63
Miami;-80.19362;25.7741728;63
Long Island;-73.0994258107431;40.85149705;61
Minnesota;-94.6113288;45.9896587;60
Boston, MA;-71.060511;42.3554334;59
Florida;-81.4639835;27.7567667;59
Hong Kong;114.1628131;22.2793278;59
new york;-74.0060152;40.7127281;57
Canada;-107.991707;61.0666922;55
Greece;21.9877132;38.9953683;53
Michigan;-84.6824346;43.6211955;48
England;-1.2649062;52.5310214;48
Ohio;-82.6881395;40.2253569;46
Buffalo, NY;-78.8783922;42.8867166;44
San Diego;-117.162772;32.7174202;44
Washington DC;-77.0365427;38.8950368;43
Baltimore;-76.610759;39.2908816;41
Bangladesh;36.0514231;-0.2864982;40
Los Angeles, CA;-118.242766;34.0536909;40
Houston;-95.3676974;29.7589382;39
Brooklyn;-73.9497211;40.6526006;37
PA;-81.1308434;8.559559;36
Northern New Jersey;-74.0636703;40.85826685;36
New York, NY;-74.0060152;40.7127281;35
Southern California;-116.787448181486;34.169262950000004;34
Northern California;-121.82080142136275;38.8992315;34
Cincinnati, Ohio;-84.5124602;39.1014537;34
Ann Arbor, MI;-83.7484616;42.2813722;34
Minneapolis;-93.2654692;44.9772995;34
Atlanta, GA;-84.3902644;33.7489924;34
Philippines;122.7312101;12.7503486;33
Kansas;-98.5821872;38.27312;32
Arizona;-111.763275;34.395342;32
New Delhi, India;77.2090057;28.6138954;32
colorado;-105.607716;38.7251776;31
new york city;-74.0060152;40.7127281;31
Chile;-71.3187697;-31.7613365;31
Seattle;-122.330062;47.6038321;30
North Carolina;-79.0392919;35.6729639;30
Atlanta;-84.3902644;33.7489924;30
Wisconsin;-89.6884637;44.4308975;29
Massachusetts;-72.032366;42.3788774;29
Argentina;-64.9672817;-34.9964963;28
Cambridge, MA;-71.1040018;42.3656347;28
London, England;-0.14405508452768728;51.4893335;26
california;-118.755997;36.7014631;26
Singapore;103.8194992;1.357107;26
Colorado;-105.607716;38.7251776;26
Colombia;-72.9088133;4.099917;25
Indiana;-86.1746933;40.3270127;24
Virginia;-78.4927721;37.1232245;23
San Francisco/LA;-81.44057;27.471719;22
BEIJING, CHINA;116.3912972;39.9057136;22
HKG;113.91729986640615;22.3125986;22
UK;-3.2765753;54.7023545;22
Saratoga, NY;-73.8712155;43.0833231;22
Salt Lake City;-111.886797;40.7596198;22
Hawaii;-155.42837009716908;19.593801499999998;22
working;-4.4287244;36.7216841;22
Genova, Italy;8.9338624;44.40726;22
Milan, Italy;9.1896346;45.4641943;22
Persia;54.5643516;32.6475314;22
Indonesia;117.8902853;-2.4833826;22
London & New York;-73.86518880780383;40.7364228;22
boston, ma;-71.060511;42.3554334;21
Las Vegas, Nevada;-115.148516;36.1672559;21
International Student;-96.66782848795546;32.958607799999996;21
Siberia;-75.93007322394297;5.8916828500000005;21
czech republic;15.3381061;49.7439047;21
Toronto;-79.3839347;43.6534817;21
Iceland;-18.1059013;64.9841821;21
Washington, D.C.;-77.0365427;38.8950368;21
UNCC;82.90999918242298;55.09485385;21
Budapest;19.14609412691246;47.48138955;21
New Hope, PA;-74.9512785;40.3642728;21
Warsaw, Poland;21.071432235636493;52.2337172;21
Northern Virginia;-77.1144702810449;38.8408718;21
Boulder, Colorado;-105.270545;40.0149856;21
Japan;139.2394179;36.5748441;21
Nepal;83.9999901;28.3780464;21
Texas & Boston;-94.4196452;33.4415086;20
Silver Spring, MD;-77.0276231;38.9959461;20
Vestal;-76.053813;42.0850703;20
Russia/Germany;13.367614888753156;52.418267099999994;20
Cameroon;13.1535811;4.6125522;20
Bulgaria;25.4856617;42.6073975;20
Taipei, Taiwan;121.5636796;25.0375198;20
DC;-74.0836333;4.6533816;20
Sweden;14.5208584;59.6749712;20
Pittsburgh;-79.9900861;40.4416941;20
Detroit, Michigan, USA;-83.0466403;42.3315509;20
J.P. Morgan;-0.105857;51.5117166;20
Berkeley;-122.272863;37.8708393;20
Rochester, NY;-77.615214;43.157285;20
los angeles;-118.242766;34.0536909;20
Bronx Science;-73.89095497482518;40.8783886;20
nashville, TN;-86.7742984;36.1622767;20
Australia;134.755;-24.7761086;20
Toronto, Canada;-79.3839347;43.6534817;20
UK/Turkey;29.1374646;40.9262907;20
Costa Rica;-84.0739102;10.2735633;20
SOUTH KOREA;127.6961188;36.638392;20
Yugoslavia;-81.52614194734898;23.04123655;20
Midwest USA;-106.280075;43.411391;20
Long Island, NY;-73.0994258107431;40.85149705;20
Florida and Virginia;-84.2886703;30.4465123;19
Switzerland;8.2319736;46.7985624;19
SF Bay Area, CA;-122.3810622;37.6171949;19
San Francisco Bay Area;-122.3558473;37.7884969;19
San Francisco, CA;-122.4193286;37.7792588;19
Oregon;-120.737257;43.9792797;19
Shanghai, China;121.4700152;31.2312707;19
California and New York;-73.8600874;40.7464515;18
atlanta, ga;-84.3902644;33.7489924;18
Manhattan;-73.9598939;40.7896239;18
CALIFORNIA;-118.755997;36.7014631;18
Palo Alto, CA;-122.1598465;37.4443293;18
Korea;126.73311710879327;37.9528488;18
Washington State;-120.212613;47.2868352;18
Paris;2.3483915;48.8534951;18
Panama;-81.1308434;8.559559;18
france;1.8883335;46.603354;18
Ann Arbor;-83.7484616;42.2813722;18
P. R. China;104.999927;35.000074;18
NY;-75.8449946;43.1561681;18
Minneapolis, MN;-93.2654692;44.9772995;18
spain;-4.8379791;39.3260685;18
New Mexico;-105.996047;34.5802074;18
WASHINGTON, D.C.;-77.0365427;38.8950368;18
India/Venezuela;-66.8154737;10.4791191;18
Woburn, MA;-71.1522766;42.4792618;18
Austin, TX;-97.7436995;30.2711286;18
SIngapore;103.8194992;1.357107;16
State College, PA;-77.8616386;40.7944504;16
Brandeis University;-71.2580196483813;42.36650945;16
Brazil;-53.2;-10.3333333;16
NYC (Staten Island);-74.14520777205962;40.5724274;16
Cleveland;-81.6936772;41.4996574;16
Philadelphia, PA;-75.1635262;39.9527237;16
ottawa, canada;-75.6901106;45.4208777;16
new jersey;-74.4041622;40.0757384;16
Westchester, NY;-73.7907554;41.1763139;16
Cherry Hill, NJ;-75.0307264;39.9348351;16
Iowa;-93.3122705;41.9216734;16
Detroit;-83.0466403;42.3315509;16
Berkeley, CA;-122.272863;37.8708393;16
Cincinnati, OH;-84.5124602;39.1014537;16
Albania;-72.51609706675976;11.244803399999999;16
Texas/London;-94.9443839;32.2309892;15
Colombia, South America;-52.1396492;-32.0536037;15
South Orange, New Jersey;-74.2635376;40.7474966;15
Romania;24.6859225;45.9852129;15
alabama;-86.8295337;33.2588817;15
Belgium;4.6667145;50.6402809;15
California, New Jersey;-117.7908803;33.7151828;15
south carolina;-80.4363743;33.6874388;15
Tokyo, Japan;139.762221;35.6821936;15
Detroit suburbs;-83.1061567;42.3140653;15
Westchester County, N.Y.;-73.7907554;41.1763139;15
Hastings-on-Hudson, NY;-73.8785922;40.9946622;14
Cambridge, Massachusetts;-71.1040018;42.3656347;14
philippines;122.7312101;12.7503486;14
France  / New York;-3.6066127;48.1393983;14
Ottawa, Canada;-75.6901106;45.4208777;14
Dallas, Texas;-96.7968559;32.7762719;10
Palm Springs, California;-116.540303;33.8246269;10
Alabama;-86.8295337;33.2588817;10
Queens;-73.8283132;40.7135078;10
Azerbaijan;47.7872508;40.3936294;10
Uruguay;-56.0201525;-32.8755548;10
Tuscaloosa, Alabama;-87.5675258;33.2095614;10
Bogota, Colombia;-74.0836333;4.6533816;10
brooklyn ny;-73.9497211;40.6526006;10
nyc;-74.0060152;40.7127281;10
Milwaukee, Wisconsin;-87.9090751;43.0386475;10
Bombay, India;72.878176;19.0785451;10
Georgia, USA;-83.1137366;32.3293809;10
Nebraska;-99.5873816;41.7370229;10
Uzbekistan;63.9528098;41.32373;10
taiwan;120.83537694479215;23.5983227;10
San Diego, CA;-117.162772;32.7174202;10
94115;-122.43454814898989;37.7850615469697;10
Puerto Rico;-66.4858295;18.2247706;10
Memphis, TN;-90.0517638;35.1460249;10
Louisiana;-92.007126;30.8703881;10
Staten Island;-74.14520777205962;40.5724274;10
India, Holland;3.6525241556253727;51.4817178;10
Burlington, Vermont;-73.212906;44.4761601;10
poland;19.134422;52.215933;10
Milano, Italy;9.1896346;45.4641943;10
London, UK;-0.14405508452768728;51.4893335;10
Portland, OR;-122.674194;45.5202471;10
japan;139.2394179;36.5748441;10
Albuquerque, NM;-106.650985;35.0841034;10
Torrance, CA;-118.3413606;33.8371392;10
St. Louis, MO;-90.1910154;38.6280278;10
Palo Alto, California;-122.1598465;37.4443293;10
Milan - Italy;9.1896346;45.4641943;10
MD;28.5670941;47.2879608;10
Bowdoin College;-69.96142281131719;43.90869735;10
Westchester, new York;-73.7907554;41.1763139;9
California (West Coast);-118.4051088;34.0222263;9
Great Neck, NY;-73.7284647;40.8006567;9
USA/American;-122.3223951;48.1080731;9
brooklyn, ny;-73.9497211;40.6526006;9
Lexington, MA;-71.2245003;42.4473175;9
Erie, PA;-80.0852695;42.1294712;9
Tokyo and Texas;-97.1878213;32.9022687;9
Portland, Oregon;-122.674194;45.5202471;9
uruguay;-56.0201525;-32.8755548;9
lOS aNGELES;-118.242766;34.0536909;9
Greece/Germany;13.7359174;51.0430045;8
Kansas City, Missouri;-94.5781416;39.100105;7
Upstate New York;-73.986456;40.7263208;7
Boston, Ma;-71.060511;42.3554334;7
Santa Barbara, California;-119.702667;34.4221319;6
Manila, Philippines;120.9799964;14.5906346;6
india;78.6677428;22.3511148;6
Pittsburgh, PA;-79.9900861;40.4416941;6
TN;9.400138;33.8439408;6
sofia, bg;23.3217359;42.6977028;5
Greenwich, CT;-73.6284598;41.0264862;5
china;104.999927;35.000074;5
Europe;10.0;51.0;5
